時間,內容,人物,標題,seg,TIME
12:33,民進黨籍台北市長候選人陳時中上午10時在臉書發布祈福照片，希望討喜的紅色讓自己開運必勝。他也表示，為了下午的電視辯論會，他盡了 12萬分努力去練習，希望能將政策清晰的說明讓市民了解，也期盼能帶給大家耳目一新的感覺。,陳時中,陳時中辯論會前為自己祈福,"['民進黨籍', '候選人', '陳時中', '10', '臉書', '發布', '討喜', '紅色', '開運', '必勝', '電視', '辯論會', '12', '萬分', '練習', '能將', '說明', '帶給', '感覺', '希望', '耳目一新', '台北市', '祈福', '期盼', '照片', '清晰', '上午', '市民', '努力', '下午', '了解', '大家', '政策', '表示', '自己']",12:33
12:41,國民黨籍台北市長候選人蔣萬安近中午12時在臉書貼文表示，下午2時的電視辯論會，相信各陣營都做了最大的努力；在他看來，這場辯論的重點是讓市民頭家來當面試官，看看誰做好了為台北打拚的準備。他期許，今天的台北需要重新出發，請所有市民頭家打開電視機或直播，一起為台北市政府面試新員工。,蔣萬安,蔣萬安辯論會前向市民發表報告,"['台北市', '台北', '市民', '國民黨', '候選人', '蔣萬安', '12', '臉書', '貼文', '電視', '辯論會', '各陣營', '看來', '這場', '辯論', '重點', '頭家來', '當面', '試官', '準備', '期許', '出發', '頭家', '打開', '電視機', '面試', '新員工', '直播', '中午', '做好', '努力', '下午', '相信', '看看', '重新', '今天', '一起', '所有', '政府', '最大', '需要', '表示']",12:41
12:48,辯論會前，無黨籍台北市長候選人黃珊珊在臉書貼文表示，直球對決、就在今天，走過24年的歷練，「我準備好了。」​黃珊珊強調，選戰走到現在，只看到烏賊戰佔據新聞版面，今天收看辯論會，她會告訴選民什麼是專業與價值。,黃珊珊,黃珊珊辯論會前強調「我準備好了」,"['辯論會', '黃珊珊', '無黨籍', '候選人', '臉書', '貼文', '直球', '對決', '走過', '24', '歷練', '準備', '強調', '選戰', '現在', '烏賊', '戰佔據', '新聞', '告訴', '選民什麼', '專業', '價值', '版面', '今天', '收看', '台北市', '看到', '表示']",12:48
13:02,下午1時民眾黨台北市長候選人黃珊珊率先進到辯論會會場，並接受媒體聯訪表示，沒有特別緊張的感覺，跟平常去議會差不多，待會辯論會申論將聚焦在市政問題。她也率先開火，再度以高端疫苗爭議，抨擊對手民進黨籍候選人陳時中，並感謝市府同仁盡心防疫，才能讓辯論會安心舉行。,黃珊珊,一襲白衣進場 黃珊珊：心情跟平常去議會差不多,"['辯論會', '候選人', '率先', '民眾黨', '黃珊珊', '進到', '會場', '媒體', '聯訪', '沒有', '特別', '緊張', '感覺', '議會', '待會', '申論將', '問題', '開火', '高端疫苗', '爭議', '抨擊', '民進黨籍', '陳時中', '並感謝', '盡心', '舉行', '市府', '防疫', '台北市', '同仁', '聚焦', '市政', '安心', '平常', '差不多', '再度', '下午', '才能', '接受', '表示']",13:02
13:20,"蔣萬安穿著選戰期間一貫的藍色西裝，但換上太太特別準備的領帶，認為看起來比較有精神。對於辯論會，他表示平常心看待，並且和團隊做了多次演練，希望和另兩位候選人交換市政想法，選戰回到公共議題討論。
",蔣萬安,配戴太太準備的領帶 蔣萬安：選戰回到公共議題討論,"['選戰', '穿著', '蔣萬安', '期間', '一貫', '藍色', '西裝', '但換', '特別', '準備', '領帶', '認為', '起來', '辯論會', '並且', '團隊', '演練', '兩位', '候選人', '交換', '公共議題', '討論', '平常心', '市政', '看待', '太太', '想法', '多次', '精神', '回到', '希望', '表示']",13:20
13:29,陳時中是第三位進場的候選人，他在西裝外套上配戴「民主前進挺18」徽章，並表示，象徵和年輕人站在一起。談到辯論會前準備，陳時中說，辯論技巧比不上另兩位民意代表，但只能用誠意把事情解釋清楚；心情上當然會緊張，只能盡其在我。對於會前高端疫苗審查持續被質疑，他強調要相信食藥署專業審查。,陳時中,戴「民主前進挺18」徽章 陳時中：和年輕人站在一起,"['陳時中', '審查', '民意代表', '進場', '候選人', '西裝', '前進', '18', '徵和年', '輕人', '談到', '辯論會', '準備', '辯論', '兩位', '用誠意', '解釋', '當然會', '緊張', '盡其', '高端疫苗', '持續', '質疑', '他強', '調要', '食藥署', '專業', '配戴', '只能', '徽章', '外套', '比不上', '第三位', '技巧', '民主', '心情', '相信', '清楚', '事情', '一起', '表示']",13:29
14:09,"蔣萬安表示，中南部孩子無論如何都要北上打拚，重振台北是市長首要目標，基隆河右岸就是新命脈，將連結南港、內湖、北投士林等科技園區，大幅增加工作機會，吸引最好廠商、人才。

另外，台北屋齡目前36年，為六都最老，蔣萬安提出將檢討都市計畫、擴大組織分制、進行建築物定期申報。

蔣萬安也指出：希望「嬰兒啼哭聲成為台北市交響樂」，因為不願意生孩子的人愈來愈多，8年來新生人數持續下探，相較於郝市府名額下降一半，因此加碼生育獎勵，從1胎2萬元提至4萬元，第2胎符合資格父母優先入住社會住宅。",蔣萬安,蔣萬安申論：1個台北、4項發展、5大中心,"['蔣萬安', '萬元', '台北', '無論', '市長', '目標', '新命脈', '將連結', '內湖', '園區', '機會', '廠商', '屋齡', '36', '將檢討', '計畫', '擴大', '組織', '分制', '進行', '建築物', '申報', '嬰兒', '聲成', '交響樂', '因為', '不願', '意生', '愈來', '年來', '人數', '持續', '相較', '名額', '加碼', '獎勵', '提至', '資格', '優先', '社會住宅', '北投', '河右岸', '南港', '孩子', '市府', '台北市', '士林', '基隆', '重振', '入住', '啼哭', '中南部', '都市', '下探', '首要', '生育', '新生', '北上', '定期', '人才', '父母', '吸引', '符合', '一半', '科技', '最好', '希望', '大幅', '指出', '下降', '另外', '如何', '提出', '增加', '工作', '因此', '目前', '表示', '就是']",14:09
14:16,蔣萬安向陳時提出7個為什麼，包括「為什麼3+11沒有會議記錄？」、「為什麼疫苗採購合約封存30年？」、「為什麼民間採購疫苗受阻？」、「為什麼放任黑心快篩流入市面？」、「為什麼由小吃店標得16億快篩標案？」、「為什麼高端第二期臨床試驗委託中資公司參與？」以及「為什麼疫情最高峰辭去指揮官、投身選舉？」,蔣萬安,蔣萬安對陳時中提7大「為什麼」,"['什麼', '採購', '疫苗', '蔣萬安', '11', '沒有', '會議記錄', '合約', '30', '民間', '標得', '16', '億快', '標案', '臨床', '試驗委', '中資', '參與', '辭去', '指揮官', '選舉', '市面', '小吃店', '黑心', '放任', '第二期', '封存', '投身', '受阻', '疫情', '最高峰', '高端', '流入', '提出', '包括', '以及', '公司']",14:16
14:21,陳時中先回應蔣萬安前面的提問，表示「裝睡的人叫不醒，十分感慨。」如果要當市長 ，1個問題問1次無法了解、2次應該明白、3次就多餘。」30年前身為牙醫師，關心台灣民主，但未曾想過踏入政治，30年過去台灣仍在討論蔣家後代問題，令人困惑。,陳時中,陳時中申論回應蔣萬安7個為什麼,"['30', '台灣', '令人困惑', '陳時中', '蔣萬安', '提問', '裝睡', '當市', '問題問', '次無法', '次應', '多餘', '為牙', '醫師', '關心', '想過', '年過', '討論', '蔣家後代', '問題', '不醒', '踏入', '先回', '感慨', '未曾', '前身', '民主', '前面', '明白', '政治', '了解', '十分', '如果', '表示']",14:21
14:28,陳時中表示前幾日看了國片「流麻溝15號」，死刑犯被槍決前留下笑容 ，犧牲來臨時用笑容面對，是台灣歷史動容的反抗。不會要求蔣萬安要為蔣家過去負責，但應更有責任要帶領台灣社會撫平傷痕。邀請兩位候選人找一天一起去看這部電影、面對歷史，會讓市民感動，是台灣社會邁向和解團結的一大步。 防疫旅館爭議，中央與地方應該是一體的，且應該要把功勞給地方，所有人都是英雄。 目前已經提出逾170項政策，包括內湖交通、社會住宅、都市更新、打造公辦寵物活水樂園等，身為政策控，這些是對市民的承諾。信維大樓的問題不論誰當選都應當成市長上任第一要務。呼籲18歲公民權，應該要把權力還給年輕人。,陳時中,陳時中：信維大樓應作為上任第一要務,"['台灣', '應該', '面對', '歷史', '社會', '笑容', '市民', '陳時中', '幾日', '國片', '流麻溝15號', '決前', '犧牲來', '臨時', '動容', '不會', '蔣萬安', '蔣家過', '負責', '但應', '有責', '任要', '帶領', '撫平傷痕', '邀請', '兩位', '候選人', '這部', '電影', '感動', '邁向', '團結', '旅館', '爭議', '一體', '功勞給', '已經', '170', '內湖交通', '社會住宅', '公辦', '寵物', '樂園', '身為', '這些', '承諾', '信維大樓', '問題', '不論', '當選', '當成', '市長', '要務', '呼籲', '18', '權力', '還給', '輕人', '死刑犯', '活水', '防疫', '一大步', '政策', '地方', '和解', '都市', '上任', '所有人', '打造', '反抗', '公民', '英雄', '更新', '留下', '一天', '第一', '中央', '一起', '提出', '要求', '包括', '目前', '表示']",14:28
14:35,黃珊珊表示，台北這8年進步有目共睹、不容抹煞，兩位說法好像在否定台北市里長及議員和市民8年的努力。她並回擊，兩位提出很多政見，但我知道公廁全面換裝免治馬桶不切實際，實務上也不可能做到預約公車，更知不能無上限大撒幣將嚴重破壞財政紀律。黃珊珊強調，台北市需重視極端氣候、能源危機、人口老化、居住正義，所以市長應要具備即戰力，立刻上手，解決問題；新任台北市長沒時間去磨合或實習。針對自己提出首都計畫雙軸線、提高容積獎勵、申辦2038年亞運、2050年減零碳排等目標，黃珊珊認為就需要即戰力，她質疑，兩位候選人何時決定參選？如果是一年前，這一年做了什麼功課？如何證明即戰力？黃珊珊指出，直到現在防疫未結束，台灣曾需要口罩、疫苗、快篩，都沒有，大部分人民更無法忍受用意識型態阻止疫曲進口，「至少我不會原諒你」，台北市已建立乾淨透明廉能政府，希望不要走回藍綠惡鬥。,黃珊珊,黃珊珊申論抨對手政策不可行 新市長需要即戰力,"['黃珊珊', '台北市', '兩位', '戰力', '廉能', '人口老化', '不切', '進步', '說法', '里長', '議員', '並回擊', '政見', '公廁', '換裝', '免治馬桶', '實際', '實務上', '預約', '公車', '更知', '大撒幣', '將嚴', '重破壞', '財政紀律', '強調', '需重視', '極端', '氣候', '危機', '正義', '市長', '應要', '具備', '解決', '問題', '時間', '實習', '針對', '計畫', '雙軸線', '容積', '獎勵', '申辦', '2038', '年亞運', '2050', '減零碳排', '目標', '認為', '即戰力', '質疑', '候選人', '何時', '決定', '參選', '什麼', '功課', '證明', '現在', '結束', '台灣', '更無法', '識型態', '疫曲', '進口', '不會', '原諒', '乾淨', '藍綠', '惡鬥', '抹煞', '一年', '磨合', '防疫', '有目共睹', '提出', '走回', '口罩', '新任', '需要', '用意', '台北', '不容', '忍受', '否定', '上限', '疫苗', '透明', '阻止', '做到', '居住', '首都', '市民', '能源', '努力', '至少', '直到', '全面', '好像', '立刻', '大部分', '人民', '希望', '指出', '不要', '很多', '如何', '提高', '建立', '政府', '所以', '不能', '知道', '如果', '表示', '可能', '自己']",14:35
14:36,陳時中提問：大巨蛋案經過17年，請教2位候選人弊案中，馬英九、郝龍斌、柯文哲三位市長中，你們認為誰要負比較大的責任？   黃珊珊答：是國民黨的弊案，柯文哲市府善後，民進黨卡關。就算是馬英九也無法處理國民黨政商關係，那蔣萬安又要如何改變。副市長卸任之前，黃珊珊已經完成跟遠雄之間議約，取回應該得到的權利金，只要大巨蛋開始營運第一天，營收千元就可以收回6元，已經可以取回馬英九時代完全不平等條約。停工是因為遠雄沒有按圖施工，最後一次變更設計就卡在中央一年半時間。   蔣萬安答：公共政策公務員違法依法究辦，尊重司法。大巨蛋有公安問題，台灣大型建設多，對大型公共建築物標準需一致，台北市政府面對遠雄18億國賠，未來會透過談判協商方式取得圓滿結果，營運方向朝著棒球及運動基地前進，將用嚴格標準檢驗相關工程品質，才會正式啟用。,ALL,交叉詰問1 大巨蛋弊案 哪位市長要負最多責任？,"['大巨蛋', '馬英九', '遠雄', '弊案', '柯文哲', '市長', '黃珊珊', '國民黨', '蔣萬安', '已經', '營運', '標準', '取回', '利金', '政商', '陳時中', '提問', '案經過', '17', '請教', '候選人', '郝龍斌', '你們', '認為', '負比', '責任', '民進黨', '卡關', '無法', '處理', '改變', '之間', '議約', '應該', '的權', '開始', '營收', '時代', '條約', '因為', '沒有', '按圖', '設計', '半時間', '公務員', '違法', '究辦', '問題', '台灣', '建設', '建築物', '面對', '18', '億國', '未來會', '透過', '談判', '協商', '圓滿', '結果', '朝著', '及運動', '前進', '將用', '嚴格', '檢驗', '相關', '品質', '啟用', '大型', '棒球', '公共政策', '市府', '台北市', '卸任', '千元', '停工', '公安', '第一天', '三位', '司法', '施工', '收回', '尊重', '依法', '可以', '公共', '平等', '就算', '一致', '基地', '工程', '方向', '取得', '一年', '正式', '之前', '中央', '只要', '完成', '完全', '方式', '如何', '一次', '得到', '政府']",14:36
15:01,"黃珊珊提問：少子女化國安危機，生育率滑落，陳時中擔任部長時，少子化辦公室只開1次，拿了7.91億元；蔣萬安提人口對策辦公室，有何兩樣？

蔣萬安答：提高生育獎勵金，生兩胎小家庭優先入住社會住宅，私立幼兒園補助增加，減輕年輕爸媽負擔，敢生、養得起、住得起。

陳時中答：台北市為何人口減少？整體育兒政策應檢查，配合0到6歲國家一起養，增加人工生殖補助，協助夫妻育兒、親職教育，設立育兒指導員、坐月子補助等。 ",ALL,交叉詰問2 生育率滑落人口對策怎麼辦,"['補助', '陳時中', '蔣萬安', '公室', '黃珊珊', '提問', '化國', '擔任', '部長', '化辦', '只開', '7.91', '億元', '對策', '有何', '兩樣', '獎勵', '生兩胎', '優先', '社會住宅', '幼兒園', '減輕', '爸媽', '負擔', '敢生', '養得', '為何', '減少', '整體育兒', '應檢查', '國家', '協助', '育兒', '親職', '設立育兒', '指導員', '生育率', '少子', '人口', '小家庭', '坐月子', '台北市', '私立', '增加', '入住', '滑落', '安危', '生育', '生殖', '子女', '夫妻', '人工', '配合', '教育', '一起', '提高', '政策']",15:01
15:15,"蔣萬安提問：高房價下民眾不敢生養，但陳時中曾否決台北市議會決議育兒津貼的想法，理由是擔心人口大量流入台北市，否決原因為何？也請黃前副市長一起答覆。

陳時中答：法案要考量衡平性，沒有否決，只是提出相關證據，希望予以考慮；我當市長當然要增加與中央溝通，事情若有道理，不是講1次不行就不行，要有責任持續與中央溝通；我跟中央關係最好，最可以溝通。

黃珊珊答：人口低是因為全國人口2020年負成長, 六都人口都下降，且防疫所賜，台北市除籍人士高達10萬人，再加上交通便利，人口轉到新北市桃園居住，重點是對症下藥；台北市優先全國做生育補助，願意生、才敢養，重點是友善托育環境，而不是只有發錢，最後也希望打造居住正義。",ALL,交叉詰問3 台北市議會生育補助提案為何曾遭否決,"['台北市', '溝通', '人口', '陳時中', '否決', '全國', '重點', '中央', '除籍', '居住', '不行', '蔣萬安', '提問', '高房', '價下', '民眾', '生養', '議會', '決議育', '兒津', '擔心', '為何', '市長', '答覆', '相關', '證據', '考慮', '當市', '當然', '有責', '任持續', '黃珊珊', '因為', '2020', '負成長', '所賜', '高達', '10', '萬人', '轉到', '新北市', '桃園', '症下藥', '優先', '補助', '願意生', '托育', '環境', '發錢', '正義', '衡平', '有否', '希望', '防疫', '友善', '考量', '若有', '法案', '生育', '不是', '便利', '打造', '予以', '想法', '道理', '流入', '理由', '交通', '最好', '加上', '不敢', '人士', '下降', '原因', '大量', '事情', '一起', '提出', '增加', '只是', '只有', '可以']",15:15
