時間,內容,人物,標題,seg,TIME
15:21,"黃珊珊提問：請問蔣萬安身為立委，對台電的財務黑洞以及內部績效不彰是否有監督？台電要求台北市企業簽限電生死狀又做了什麼努力？陳時中面對全台缺電、中央政府能源政策無法兌現，有什麼對策？台北未來重大建設面對限電問題，要「用愛發電」嗎？

陳時中答：中央對電力有做詳細規劃，台北市應該配合把電纜配電做好。台北在綠電相對其他縣市成效不彰，在住家、大樓沒有鼓勵，未來中央發電要積極和中央溝同，但對自主電力及再生能源更有責任做好。節能上，住商如何使用省電電器，和電器公司工廠可以用電有效率，讓弱勢者可以分享到省下來的電，應該要留意。

蔣萬安答：中央在台北市限電和跳電問題應該要通盤檢討，第一是缺電會造成台北整體發展眾多問題，包括全面汰換電動公車進度落後。第二是未來土地取得，停車場空間不足。第三是供電問題。2050淨零碳排目標，台北市可以仿造日本作法，汰換高耗能電器。",ALL,交叉詰問4 台北未來重大建設如何面對缺電,"['問題', '台北市', '未來', '應該', '台北', '蔣萬安', '台電', '陳時中', '電力', '電器', '中央', '立委', '做好', '黃珊珊', '提問', '請問', '身為', '財務', '內部績', '效不彰', '監督', '企業', '簽限電', '什麼', '面對', '缺電', '無法', '兌現', '有什麼', '對策', '建設面', '對限電', '用愛發電', '詳細', '規劃', '電纜', '配電', '綠電相', '縣市', '不彰', '大樓', '沒有', '鼓勵', '發電要', '積極', '溝同', '有責任', '節能', '住商', '省電電器', '工廠', '用電', '勢者', '下來', '的電', '限電', '跳電', '通盤', '檢討', '缺電會', '整體', '發展', '眾多', '換電動', '公車', '進度', '停車場', '空間', '供電', '2050', '淨零碳排', '目標', '汰換', '全台', '可以', '住家', '仿造', '有效率', '高耗能', '黑洞', '作法', '再生能源', '留意', '中央政府', '成效', '生死', '分享', '自主', '配合', '能源', '努力', '第三', '不足', '全面', '第二', '重大', '取得', '是否', '土地', '第一', '造成', '日本', '如何', '要求', '政策', '使用', '其他', '包括', '以及', '公司']",15:21
15:26,"蔣萬安提問：陳時中曾說水門外有車子，絕對不關水門，但水門用途是用來阻絕可能帶來的水災，若不關引發災難造成市民財產生命損失，如何擔則責？黃珊珊認為內湖交通要靠松山機場遷移，如何落實？

黃珊珊答：內科交通從6萬人口的工業區，改為科技園區，因而湧入18萬人，將近3倍。這是從馬英九任期開始沒有面對的都市計畫問題，增加人流和車流，但沒有增加道路面積。目前車流不可能降低，只能擴寬大橋。中期要做環狀捷運線，目前正在招標北環、南環段招標。整條環狀線串起來，就可以把車流量送到公共運輸去。若要徹底改善，松山機場是長期規劃。

陳時中表示，他強調的是關水門之前的SOP要做好，包括通知車子及檢查、外移及關閉水門的程序。也回應內湖交通，目前拓寬工程很好，但認為還有更多進步空間，例如匝道可以改善、環東線可以接遠一點等等。",ALL,交叉詰問5 水門操作與內湖交通問題,"['陳時中', '車子', '水門', '黃珊珊', '認為', '內湖交通', '機場', '車流', '招標', '松山', '蔣萬安', '提問', '水門外', '絕對', '不關', '阻絕', '帶來', '水災', '若不關', '引發', '災難', '財產', '損失', '擔則責', '遷移', '落實', '內科', '工業區', '改為', '園區', '湧入', '18', '萬人', '將近', '這是', '馬英九', '開始', '沒有面', '計畫', '問題', '面積', '擴寬', '大橋', '環狀捷', '運線', '北環', '南環段', '整條', '環狀線', '把車', '運輸', '徹底', '期規劃', '強調', '關水門', 'SOP', '檢查', '及關', '閉水門', '回應', '拓寬', '還有', '進步', '空間', '環東線', '接遠', '一點', '目前', '串起', '改善', '外移', '匝道', '可以', '如何', '增加', '人流', '若要', '都市', '任期', '可能', '流量', '公共', '用途', '送到', '做好', '程序', '市民', '生命', '中期', '通知', '道路', '交通', '等等', '科技', '工程', '因而', '降低', '例如', '人口', '只能', '之前', '造成', '正在', '包括', '表示']",15:26
15:30,"陳時中提問：趙少康先生講，民調若顯示，非綠政營分裂，國民黨與民眾黨就會兩敗俱傷，所以提議新竹換台北，要國民黨支持民眾黨新竹市長候選人高虹安，這是否是蔣萬安選情告急的下策？

請問黃珊珊，柯文哲經常「變來變去」，會不會在關鍵時刻與妳切割？棄保妳而去與國民黨交換？

蔣萬安答：心中有藍綠的人才會糾結顏色，嘴巴討論棄保心中才想著棄保。選民更想看到政策討論，而非讓棄保藍綠問題成為主訴求，並非超越藍綠而已，而是讓新任市長超越現任以及過去市長。

黃珊珊回答：8年來政治文化改變整頓前朝弊案，包括雙子星、大巨蛋等，主張公開透明、不貪汙不浪費。北市政績不容抹煞，政治文化改變已經八年，台北市政府是彩色的，有各種不同顏色，早就超越藍綠，作為市長會秉持信念，繼續組建聯合政府、廣納百川。 ",ALL,交叉詰問6 國民黨與民眾黨是否操作棄保,"['藍綠', '國民黨', '棄保', '市長', '民眾黨', '蔣萬安', '黃珊珊', '顏色', '討論', '改變', '超越', '陳時中', '提問', '民調', '顯示', '非綠政營', '就會', '兩敗', '俱傷', '提議', '候選人', '高虹安', '選情', '請問', '柯文哲', '經常', '變來', '變去', '會不會', '關鍵', '時刻', '交換', '糾結', '著棄', '選民', '問題', '成為', '主訴', '並非', '現任', '過去', '年來', '整頓', '弊案', '雙子星', '大巨蛋', '主張', '公開', '不浪費', '已經', '各種', '作為', '繼續', '組建', '聯合', '廣納', '新竹市', '抹煞', '少康', '百川', '心中', '下策', '政治', '文化', '秉持', '新竹', '台北市', '是否是', '政府', '告急', '新任', '前朝', '信念', '台北', '市政', '不容', '切割', '彩色', '嘴巴', '八年', '透明', '分裂', '而已', '人才', '早就', '先生', '回答', '而是', '支持', '看到', '政策', '不同', '所以', '包括', '以及']",15:30
15:35,"TVBS提問：台北市房價高世界數一數二，不吃不喝16年才能買得起房子。社宅設立進度緩慢，柯文哲說8年5萬戶社會住宅已確定跳票。候選人當選後如何落實居住正義，解決高房價問題？是否延續社會住宅政策？是否願意承諾設定社宅目標一旦跳票，不再競選連任？

蔣萬安答：台北人口外移問題嚴重，除了高房價，低薪也是主因之一。社宅並非萬靈丹，因此提供年輕人更多生活支持、更好就業機會，用矽谷經驗讓台北科技囊袋完整成型。

未來將保留更多戶數給40歲以下年輕人入住。至於柯市府跳票，和財務規劃、地點選擇有關係。年輕人留在台北，需要的是多元政策以及財富穩定。

黃珊珊答：興建社宅受限土地取得困難，以及在地居民溝通。台北市目前社會住宅數目超越全國數量加總，保證當選之後，興建社宅數量還是會保持全台第一。台北市居住正義，需要更多元管道實現，幫年青人圓夢提出幾項方案：1.BOT案，例如奇岩社宅。2.鼓勵旅館轉型社宅。3.TOD等都更獎勵方式取回社會住宅。4.開發許可鼓勵民間興建，租金要求民間比照社宅。5.鼓勵長者入住社宅，把公寓交給專業團隊包租代管。6.擴大包租代管誘因，讓市民釋出空屋。

陳時中答：除了直接興建社會住宅，也將積極擴充包租代管戶數，讓北市社會住宅總量超過國際標準。至於目前碰到的社會住宅興建困境，將透過跟中央協調公有地釋出等方式解決。年輕人居大不易，推動公務預算應該要編入社會租金降10%、中央補貼增加1500元等預算。居住正義比財務更重要，要讓年輕人有棲身之地。",ALL,媒體提問1 台北如何實現居住正義,"['社宅', '社會住宅', '輕人', '興建', '跳票', '包租', '代管', '台北市', '台北', '房價', '當選', '正義', '解決', '問題', '至於', '財務', '數量', '鼓勵', '民間', '預算', '居住', '入住', '租金', '多元', '居大不易', '北市', '奇岩', 'TVBS', '提問', '數一數', '16', '設立', '進度', '緩慢', '柯文哲', '萬戶', '確定', '候選人', '落實', '延續', '願意', '承諾', '設定', '目標', '競選連任', '蔣萬安', '嚴重', '高房價', '並非', '萬靈丹', '就業', '機會', '矽谷', '經驗', '囊袋', '未來將', '更多戶', '數給', '40', '規劃', '地點', '選擇', '有關', '財富', '穩定', '黃珊珊', '困難', '溝通', '數目', '全國', '保證', '還是', '實現', '圓夢', '幾項', 'BOT', '旅館', '轉型', 'TOD', '獎勵', '開發許', '可鼓勵', '交給', '專業', '團隊', '擴大', '誘因', '釋出', '陳時中', '將積極', '擴充', '戶數', '總量', '超過', '國際', '標準', '將透過', '協調', '地釋', '推動', '公務', '應該', '要編', '10%', '補貼', '1500', '正義比', '有棲身', '低薪', '空屋', '外移', '入社', '年青人', '是否', '中央', '除了', '不吃不喝', '市府', '方式', '取回', '比照', '公有', '主因', '政策', '受限', '需要', '成型', '公寓', '以及', '目前', '困境', '管道', '碰到', '超越', '保留', '留在', '完整', '更好', '房子', '市民', '方案', '科技', '居民', '例如', '一旦', '不再', '才能', '人口', '取得', '土地', '以下', '第一', '支持', '保持', '直接', '如何', '提出', '提供', '之一', '生活', '要求', '增加', '世界', '因此', '重要']",15:35
15:45,"三立提問：中共二十大之後，對台政策轉趨強硬，且強調絕不承諾放棄使用武力，請問三位候選人，是否支持被中國統一？如果答案是否定的，有沒有具體的做法和策略面對軍事恫嚇？如何維護現行的民主自由，捍衛首都安全、強化首都民防的策略？當選後會辦雙城論壇嗎？

陳時中答：當然不贊成被中國統一，台灣是主權獨立國家，名字是中華民國，這是台灣人的DNA。過去民防警覺心稍嫌不足，易流於表演形式，未來嚴肅看待；另外，城市交流是必要的，但現在所講的雙城論壇，指的是跟有侵略台灣意圖的對岸，因而要注意。

蔣萬安答：我的立場清楚，「恪遵中華民國憲法，堅守中華民國主權，捍衛台灣的民主自由法治及人權的價值。」當馬斯克談到台灣未來可以當作特別行政區，想都不用想，當然反對到底，當然捍衛中華民國主權、堅守台灣尊嚴；面對一國兩制當然反對到底，支持增加國防預算，也會繼續站在中華民國首都對等尊嚴立場。

黃珊珊答：自己立場明確，民主自由和獨裁專政不可能並存，盡力爭取和平，面對恐嚇和打壓要堅定信念，民主自由的生活方式是不可退讓底線，地方政府要做的是確保基礎設施運作和準備安全避難場所；自烏克蘭戰爭可知道台灣最強力量來自國際支持，不該把眼光侷限兩岸，未來繼續促進與多個城市交流對話的雙城論壇。中華民國是主權獨立國家，台北市作為首都，市長有三原則：和平第一、繁榮優先、人民至上。",ALL,媒體提問2 支持統一?如何維護民主自由?,"['台灣', '中華民國', '當然', '主權', '民主自由', '面對', '捍衛', '未來', '首都', '中國統', '獨立', '國家', '雙城', '論壇', '立場', '堅守', '反對', '繼續', '民防', '支持', '交流', '和平', '易流', '三立', '提問', '對台', '轉趨', '強硬', '強調', '絕不承諾放棄', '請問', '候選人', '具體', '軍事', '恫嚇', '維護', '現行', '強化', '當選後會', '辦雙', '城論壇', '陳時中', '贊成', '這是', 'DNA', '過去', '警覺', '嚴肅', '但現', '所講', '意圖', '對岸', '蔣萬安', '遵中華民國', '憲法', '及人權', '價值', '當馬斯克談', '當作', '特別', '尊嚴', '一國', '兩制', '國防', '預算', '嚴立場', '黃珊珊', '明確', '獨裁', '專政', '並存', '盡力', '爭取', '恐嚇', '壓要', '堅定', '底線', '確保', '基礎', '設施', '運作', '準備', '避難場', '自烏克蘭', '戰爭', '最強', '自國際', '不該', '兩岸', '促進', '多個', '對話', '作為', '市長', '繁榮', '優先', '稍嫌', '策略', '到底', '安全', '二十大', '三原', '城市', '台北市', '至上', '法治', '信念', '武力', '三位', '否定', '看待', '中共', '侵略', '眼光', '表演', '答案', '做法', '名字', '行政', '必要', '不用', '不足', '因而', '清楚', '力量', '不可', '注意', '是否', '人民', '第一', '另外', '形式', '方式', '如何', '生活', '增加', '政府', '政策', '使用', '地方', '知道', '如果', '可能', '自己', '可以']",15:45
16:00,"黃珊珊首先指出，感謝陳時中肯定水門要有SOP，以及蔣萬安說應該不分藍綠，這些都是我們台北市政府正在做的，但話鋒一轉，質疑兩位對手誰當選，好不容易建立的非藍非綠淨土，將重回藍綠惡鬥的惡夢

黃珊珊說，他們當選第二天，藍綠就會開戰，「我當選第二天就可以上工，更是首都第一位女性市長。」

黃珊珊強調，擔任市議員時服務不分藍綠，「百姓受苦我會痛」，因此3年前有機會承擔更多責任，就學習擔任副市長，勇敢站在防疫第一線；從政24年來，追求公平正義，努力捍衛每個人人權和自由。

最後她請大家靜下來問問自己，「脫下政黨外衣，這三位候選人誰是最適合的市長人選？所以兩黨都操作棄保，希望大家淹沒在棄保當中，藍綠兩黨花大筆金錢做廣告，用各種力量栽贓，這場選舉就是一個價值的選擇。",黃珊珊,黃珊珊結論：非藍非綠 這是一場價值選擇,"['藍綠', '黃珊珊', '當選', '市長', '兩黨', '第二天', '感謝', '陳時中', '水門', 'SOP', '蔣萬安', '應該', '這些', '我們', '但話鋒', '一轉', '質疑', '兩位', '藍非', '綠淨土', '惡鬥', '惡夢', '他們', '開戰', '強調', '擔任市', '議員時', '服務不分', '我會痛', '機會', '承擔', '多責任', '學習', '擔任', '從政', '24', '年來', '正義', '捍衛', '每個', '權和', '靜下', '問問', '脫下', '政黨', '候選人', '適合', '人選', '棄保', '沒在棄', '保當', '花大筆', '金錢', '廣告', '各種', '栽贓', '這場', '選舉', '一個', '價值', '選擇', '上工', '防疫', '大家', '台北市', '外衣', '受苦', '重回', '不分', '好不容易', '第一位', '三位', '勇敢', '公平', '人人', '年前', '女性', '追求', '首都', '百姓', '努力', '自由', '更是', '肯定', '力量', '操作', '首先', '希望', '第一', '指出', '正在', '建立', '政府', '所以', '因此', '以及', '就是', '自己', '可以']",16:00
16:05,"蔣萬安從自身經驗出發，表示他的身分從矽谷律師、到立委、以及三個孩子的爸，但是個性始終如一，把握每分每秒，做到最好。

蔣萬安強調，自己有顆年輕的心，要用家的愛與責任，擴大到讓市民安居樂業，「用我的年輕成為台北的年輕，我的創新變成用心」，也有改革決心，擔任立委時監督疫苗採購，對抗中央政府；只要能為市民爭取更多，民代經驗對台北市是加分，更能理解市民心聲與需求。

他期待，將台北打造成服務為導向的城市，走進世界，未來市民到每一個城市，都可以大聲驕傲說出，「我來自台北」。",蔣萬安,蔣萬安結論：用我的年輕成為台北的年輕,"['立委', '台北', '市民', '蔣萬安', '用家', '經驗', '出發', '矽谷', '律師', '三個', '性始', '終如', '強調', '有顆', '愛與責任', '擴大到', '樂業', '輕成', '創新', '變成', '決心', '擔任', '監督', '採購', '對抗', '能為', '爭取', '民代經驗', '心聲', '服務為', '導向', '走進', '未來', '一個', '大聲', '驕傲', '我來', '每分', '加分', '城市', '安居', '台北市', '每秒', '更能', '用心', '中央政府', '身分', '疫苗', '期待', '做到', '把握', '理解', '自身', '最好', '改革', '孩子', '需求', '造成', '只要', '世界', '但是', '以及', '表示', '自己', '可以']",16:05
16:10,"陳時中在結論中指出，2年前台灣是唯一能在疫情中舉辦職棒賽的國家，但努力的痕跡在選戰中變成邪惡的痕跡，他希望有一天可以脫下口罩，跟台灣人民說聲謝謝，說聲辛苦了，今天就是這個日子。

「被指控害死那麼多人，還敢出來選舉，說我不難過，是騙人的。」陳時中強調，沒有阻擋疫苗採購，是全世界最想公布採購過程的人，但不能為了勝選而破壞保密規範；每一個人都因為我的決定或多或少受到衝擊，罵我是應該的，可是全世界只有台灣要毀掉國產疫苗，和消費死去的同胞。

陳時中最後表示，我想保護全台灣每一個人，只是沒有做到，很抱歉，大家受苦了，我沒有想要選總統，只希望把最後一段公職旅程奉獻給台北。",陳時中,陳時中結論：只希望把最後公職旅程奉獻給台北,"['台灣', '陳時中', '痕跡', '說聲', '沒有', '採購', '每一個', '疫苗', '全世界', '結論', '中舉', '職棒', '國家', '選戰中', '變成', '脫下', '謝謝', '這個', '那麼', '還敢', '出來', '選舉', '難過', '強調', '阻擋', '過程', '勝選', '破壞', '規範', '因為', '決定', '衝擊', '應該', '要毀', '國產', '消費', '我想', '保護全', '選總統', '公職', '奉獻給', '希望', '最想', '旅程', '害死', '口罩', '抱歉', '同胞', '受苦', '指控', '台北', '或多或少', '疫情', '保密', '辛苦', '死去', '想要', '年前', '做到', '一段', '努力', '唯一', '日子', '一天', '人民', '指出', '公布', '今天', '受到', '大家', '可是', '只是', '只有', '不能', '表示', '就是', '可以']",16:10
16:20,"黃珊珊先表示，遺憾其他兩位候選人實問虛答，例如台北市電問題是現在進行式，沒有具體回答。許多提及的政見都延續柯市府已經在進行的，感謝他們肯定台北市這八年政績。已經有很好基礎，讓黃珊珊繼續接任更好。


至於辯論會給自己打幾分，她表示分數要交給市民打，不能交給自己。",黃珊珊,黃珊珊會後記者會：遺憾實問虛答,"['黃珊珊', '已經', '交給', '台北市', '遺憾', '兩位', '候選人', '實問', '虛答', '電問題', '現在', '進行式', '沒有', '具體', '許多', '政見', '延續', '進行', '感謝', '他們', '政績', '基礎', '繼續', '至於', '辯論會', '打幾分', '分數', '市府', '接任', '提及', '表示', '八年', '自己', '更好', '市民', '例如', '肯定', '回答', '其他', '不能']",16:20
16:22,陳時中感謝團隊幫忙，辯論會表現力求穩定，把想講的說清楚。自己已經盡力，在辯論會的表現分數交給觀眾打成績。也提到18歲公民權是憲政一大步，越多青年參與台灣政治才會越來越好。,陳時中,陳時中會後記者會：盡力對政策說明,"['辯論會', '表現', '陳時中', '感謝', '團隊', '幫忙', '穩定', '想講', '已經', '盡力', '分數', '交給', '觀眾', '18', '權是', '憲政', '參與', '台灣', '越來', '一大步', '打成', '力求', '公民', '提到', '青年', '清楚', '政治', '自己']",16:22
16:26,蔣萬安表示，很高興能參與辯論會，談談自己對台北市的願景，也相信市民期待選舉主軸回歸公共議題討論。這次辯論會和團隊盡力最做好準備，至於給自己的分數，市民的評價才是團隊最關心的。,蔣萬安,蔣萬安會後記者會：高興談台北市願景,"['辯論會', '團隊', '市民', '蔣萬安', '高興', '談談', '願景', '選舉', '主軸', '回歸', '公共議題', '討論', '這次', '盡力', '準備', '至於', '分數', '評價', '關心', '台北市', '自己', '期待', '做好', '相信', '表示']",16:26
